iter	Logloss
0	0.686787863
1	0.6803627254
2	0.6741253092
3	0.6677607607
4	0.6629141034
5	0.6567047983
6	0.6513447928
7	0.6460098698
8	0.6405125551
9	0.6358285917
10	0.6306690329
11	0.6252982368
12	0.6196700824
13	0.6154654349
14	0.6106739573
15	0.6051950606
16	0.6017361903
17	0.5972726371
18	0.5931667059
19	0.5887373655
20	0.5837032483
21	0.5786844912
22	0.5746948677
23	0.5696676879
24	0.5658103496
25	0.5619418701
26	0.5581253911
27	0.5541909939
28	0.5507959673
29	0.5474014701
30	0.5435143141
31	0.5398487515
32	0.5369371701
33	0.5341763679
34	0.5308850654
35	0.5278144469
36	0.5244635473
37	0.5221668123
38	0.5193819903
39	0.515562868
40	0.5125752644
41	0.5097999793
42	0.5070946563
43	0.5038073334
44	0.5012469801
45	0.4985282717
46	0.4964983893
47	0.4939500598
48	0.4914817086
49	0.489303761
50	0.4871231165
51	0.4851302557
52	0.4824891124
53	0.4798002319
54	0.4776469689
55	0.4759551374
56	0.4739892697
57	0.4718757988
58	0.4701223412
59	0.4683152539
60	0.4664764947
61	0.4643786593
62	0.4625066431
63	0.4598202936
64	0.4579656738
65	0.4562989051
66	0.454792953
67	0.4529360938
68	0.4511326087
69	0.4499133435
70	0.4482591945
71	0.4470802827
72	0.4453122982
73	0.443092087
74	0.4409959669
75	0.4393851323
76	0.4382612661
77	0.4365083919
78	0.4346183147
79	0.4327008257
80	0.431500438
81	0.4304334079
82	0.4293759144
83	0.4281031248
84	0.4266083645
85	0.4252533732
86	0.4240701961
87	0.422686144
88	0.4214672252
89	0.4203132943
90	0.4193399454
91	0.4181467674
92	0.4169970487
93	0.4159885033
94	0.4149809613
95	0.4136915986
96	0.4127987176
97	0.4115292619
98	0.4101816756
99	0.4089347914
100	0.4079613834
101	0.4065713322
102	0.4054219557
103	0.4038546017
104	0.4030090486
105	0.4022582919
106	0.4012869734
107	0.4002249883
108	0.3993223544
109	0.3986238936
110	0.3973445661
111	0.3964881142
112	0.395372479
113	0.3947621437
114	0.393327054
115	0.3924001165
116	0.3913452781
117	0.390706016
118	0.3895083253
119	0.3888990099
120	0.3880309411
121	0.3872900404
122	0.3865895405
123	0.3859876637
124	0.3848076503
125	0.3841912053
126	0.3834468855
127	0.3825607792
128	0.3820686335
129	0.3811447515
130	0.380487557
131	0.3796514856
132	0.3790075871
133	0.3784386743
134	0.3777444845
135	0.3771187237
136	0.3764803141
137	0.3753363216
138	0.3747094534
139	0.3739776033
140	0.3733139596
141	0.3725197934
142	0.3719165148
143	0.3717427687
144	0.3711931979
145	0.3706067335
146	0.3699584559
147	0.3691008642
148	0.3684032023
149	0.3677797779
150	0.3672814026
151	0.3669603683
152	0.3663440343
153	0.3658010649
154	0.3650962072
155	0.3644476331
156	0.3640211174
157	0.3633297435
158	0.3627901241
159	0.3621353072
160	0.3616853326
161	0.3608570983
162	0.3605557177
163	0.3602877964
164	0.3597027927
165	0.359287559
166	0.3588635137
167	0.3584844793
168	0.3580809438
169	0.3573750041
170	0.3568120826
171	0.3563227275
172	0.3560573005
173	0.3555567743
174	0.3551202538
175	0.3547800802
176	0.3543780998
177	0.3541321004
178	0.3536860071
179	0.3532749454
180	0.3526311192
181	0.3521596946
182	0.3514951408
183	0.3510753181
184	0.3507308994
185	0.3503571643
186	0.3500665738
187	0.3497668883
188	0.3495571862
189	0.3491201796
190	0.348699816
191	0.3483750333
192	0.3478733956
193	0.3473478429
194	0.347041102
195	0.3466011629
196	0.3464679224
197	0.3461361736
198	0.3458745386
199	0.3454768027
200	0.3451807451
201	0.344613402
202	0.3443011635
203	0.3438346789
204	0.3434544395
205	0.3431417985
206	0.3429151806
207	0.3426134578
208	0.342158529
209	0.3415273192
210	0.3411055871
211	0.3409953322
212	0.3406343408
213	0.3404196802
214	0.3397214981
215	0.3394462511
216	0.3391881856
217	0.3389277427
218	0.3385811774
219	0.3384189386
220	0.3380120298
221	0.337780819
222	0.3371779547
223	0.3369291857
224	0.3366928854
225	0.3365086205
226	0.3361726053
227	0.3355987041
228	0.3353816838
229	0.3348853767
230	0.3345725949
231	0.3341555825
232	0.3339703606
233	0.3334375924
234	0.3331302869
235	0.3327246869
236	0.3324211551
237	0.3322776232
238	0.3321116883
239	0.3317889371
240	0.331310243
241	0.3308415804
242	0.3306404266
243	0.3304352143
244	0.3302114585
245	0.329970304
246	0.3296349914
247	0.3293008152
248	0.3290557449
249	0.3285905312
250	0.3283803047
251	0.3280895115
252	0.3278850789
253	0.3276071405
254	0.3272054831
255	0.3269233151
256	0.3267109867
257	0.3265984591
258	0.3264042311
259	0.3261843715
260	0.3256466755
261	0.3253640598
262	0.3251613754
263	0.3248482965
264	0.3246306166
265	0.3243648258
266	0.3238245917
267	0.3236049196
268	0.3234573121
269	0.3232853095
270	0.3230183642
271	0.3226185128
272	0.3221267061
273	0.321930179
274	0.3217587334
275	0.3213787537
276	0.3211284921
277	0.3209463744
278	0.3206424781
279	0.3204226895
280	0.3201894193
281	0.3199927841
282	0.3198153634
283	0.3195217201
284	0.3192380592
285	0.319013489
286	0.3188355801
287	0.3185701789
288	0.3184643933
289	0.3183526473
290	0.3180858885
291	0.3179012878
292	0.3177023005
293	0.3175977819
294	0.3171566355
295	0.3170341151
296	0.316823754
297	0.3165423368
298	0.316277044
299	0.3159366429
